Release Group,Success,split,sleeper_prob
Halloween,1,val,0.5735815394620304
Kevin Hart: Let Me Explain,0,val,0.531839485120951
Monster,1,val,0.3967005472783384
The Way Way Back,0,val,0.36098518074457103
Unfriended,1,val,0.31676879119070406
The Visit,1,val,0.3003057647346164
Nebraska,0,val,0.27054883472553926
Child's Play,0,val,0.22376078108295988
Pinocchio,1,val,0.1979191037712443
November,0,val,0.19225454582300514
Mean Girls,1,val,0.18165884055455675
The Grudge,1,val,0.16145795597778334
Les Misérables,1,val,0.1564439575562204
The Wailing,0,val,0.14638737166982535
"As Above, So Below",0,val,0.14097418533271044
August: Osage County,0,val,0.14089179852924705
Room,0,val,0.13028372977851657
Pet Sematary,0,val,0.128691995268913
A Million Ways to Die in the West,0,val,0.11941940803847452
Some Like It Hot,1,val,0.11055256020894533
Aloha,0,val,0.10792164267413679
Neighbors 2: Sorority Rising,0,val,0.10505520208973962
Ted 2,0,val,0.10043273973979551
47 Ronin,0,val,0.09855723967104046
Hero,0,val,0.09581975368641947
Scream,0,val,0.09191420441813873
No Good Deed,0,val,0.08910580861864686
The Purge: Anarchy,0,val,0.0873570690546678
Minions,1,val,0.08733353800629613
Bad Moms,1,val,0.08662246085047332
The Longest Ride,0,val,0.08409627648839206
Criminal,0,val,0.07813488760956827
Hotel Transylvania 2,0,val,0.07720321185437332
The Water Diviner,0,val,0.07637707349963099
Now You See Me,0,val,0.07356751756488752
The Peanuts Movie,0,val,0.07122637946943601
Aladdin,1,val,0.06834044267655476
Selma,0,val,0.06682012151710799
Nightcrawler,0,val,0.06547751110901401
The Fault in Our Stars,1,val,0.06405725177473005
Into the Woods,0,val,0.05955587147183273
Lights Out,1,val,0.05951103169482624
The Second Best Exotic Marigold Hotel,1,val,0.05866877264017819
Flatliners,0,val,0.05861600465242247
The Boy,0,val,0.056773264384081375
The Gift,1,val,0.05592334869846984
The Hunger Games: Mockingjay - Part 1,1,val,0.05481279816124537
Paranormal Activity: The Marked Ones,1,val,0.05472440646987777
Don Jon,0,val,0.05269359340178912
Shin Godzilla,0,val,0.051703564401120984
The Place Beyond the Pines,0,val,0.05011411939832195
Spring Breakers,0,val,0.04906757415315037
Coming Home,0,val,0.047977143299077325
The Witch,0,val,0.046508668268255005
The Hunt,0,val,0.04466085357126635
Dumb and Dumber To,0,val,0.04410205722903629
The Theory of Everything,1,val,0.043724222858136326
Let's Be Cops,1,val,0.04297443077914028
Insidious: Chapter 2,1,val,0.041918890501714566
Instructions Not Included,1,val,0.04188698935499217
Mr. Peabody & Sherman,0,val,0.04163428398064574
Brooklyn,0,val,0.041497240674836844
Nerve,0,val,0.04003524700684655
The Boy Next Door,1,val,0.0388001442967093
The Lion King,1,val,0.03872666856388265
The Hobbit: The Battle of the Five Armies,0,val,0.036877661925664385
The Secret Life of Walter Mitty,0,val,0.03563329549091367
Mulan,0,val,0.035580483781852704
Hero,0,val,0.034554423966724035
The Little Prince,0,val,0.034492584833191085
Money Monster,0,val,0.034189489066060647
Wild,0,val,0.03391638277841388
Khumba,0,val,0.03386075173129572
The Imitation Game,1,val,0.03356368346452597
"I, Frankenstein",0,val,0.03269554888418639
Magic Mike XXL,1,val,0.032582285756273074
Fifty Shades of Grey,1,val,0.03248847178409815
Enough Said,0,val,0.03205916155353876
Woman in Gold,0,val,0.031817624271430055
Lucy,1,val,0.03172395864508995
Spotlight,0,val,0.031657254356427744
The DUFF,0,val,0.03061863437276051
Pain & Gain,0,val,0.030422479567716074
The Boss,0,val,0.029678397635628108
Muppets Most Wanted,0,val,0.02917965614551042
Ex Machina,0,val,0.028556348463455335
Pitch Perfect 2,1,val,0.028433278151098505
The Forest,0,val,0.028344045420725182
Boyhood,1,val,0.02807711321593697
Anchorman 2: The Legend Continues,0,val,0.027819410153171232
Inside Llewyn Davis,0,val,0.027059762488667698
Mandela: Long Walk to Freedom,0,val,0.026856250072409483
Transcendence,0,val,0.026845407000227438
Florence Foster Jenkins,0,val,0.02676334639979223
Her,0,val,0.026325545141893832
About Time,0,val,0.026127079559724656
Secret in Their Eyes,0,val,0.024763634306951245
The Big Short,0,val,0.02399333980059406
Love the Coopers,0,val,0.023937902371532038
The Gallows,1,val,0.023862347273596016
Rio 2,0,val,0.023389013867616736
Epic,0,val,0.023379393395112122
Snowpiercer,0,val,0.023372508805471617
Sinister 2,0,val,0.023216889182468385
The Walk,0,val,0.02315256960002465
A Walk Among the Tombstones,0,val,0.022840062029961163
Miracles from Heaven,0,val,0.022608396737762233
Captain America: The Winter Soldier,0,val,0.022503192414714695
The Internship,0,val,0.022180889555851367
Burnt,0,val,0.022176629601595676
The Amazing Spider-Man 2,0,val,0.021054455171184237
Poltergeist,0,val,0.021020262495768112
Million Dollar Arm,0,val,0.020099072976070432
Blended,0,val,0.01999418569286707
Turbo,0,val,0.019805633048893875
Straight Outta Compton,0,val,0.019691292028106898
Mud,0,val,0.019448628681490145
The 33,0,val,0.01937254708852701
The Bélier Family,0,val,0.019283523336950128
Race,0,val,0.018520599977761794
Jurassic World,1,val,0.018453067675020675
West Side Story,1,val,0.01832573306800785
Seventh Son,0,val,0.01823405578358873
And So It Goes,0,val,0.018168180689334894
Warcraft,0,val,0.018133660547292953
The Conjuring,1,val,0.017979777076813065
Jupiter Ascending,0,val,0.017918322269442583
Beautiful Creatures,0,val,0.01774825065763693
When the Game Stands Tall,0,val,0.01771202427268466
Little Women,1,val,0.017371108824273025
Charlie's Angels,0,val,0.017307863273910047
The Shallows,0,val,0.017259019210655164
The Intern,0,val,0.01722436109960022
The Mortal Instruments: City of Bones,0,val,0.016928223755527116
Me Before You,1,val,0.01686947173935294
2 Guns,0,val,0.016492609792698655
Free Birds,0,val,0.016388986866764915
Triple 9,0,val,0.015867829210286035
The Grandmaster,1,val,0.015778749080848784
Philomena,1,val,0.015548880256318495
The Expendables 3,0,val,0.014925134997283259
Big Hero 6,0,val,0.014820774116392986
Teenage Mutant Ninja Turtles: Out of the Shadows,0,val,0.014789565586333684
Whiplash,1,val,0.014776669321837936
Black Mass,0,val,0.014710939657735131
Exodus: Gods and Kings,0,val,0.014413641588935298
The Secret Life of Pets,1,val,0.01436336512436576
Star Trek Beyond,0,val,0.014310176542098976
Vacation,0,val,0.014086064842632143
Grudge Match,0,val,0.013987496159718562
"McFarland, USA",0,val,0.013668900989730663
Firestarter,0,val,0.013661664683330419
Horrible Bosses 2,0,val,0.013509978231243626
Joy,0,val,0.013450693759417444
Rampage,0,val,0.013316821557749022
Nothing to Lose,0,val,0.013228486138450202
Carrie,0,val,0.013153535483936229
Deliver Us from Evil,0,val,0.013144194392518392
Neighbors,1,val,0.01308584268845245
Self/less,0,val,0.012797105335051377
12 Years a Slave,1,val,0.01269690251285541
Snake Eyes,0,val,0.01266892072758826
The Lazarus Effect,1,val,0.012639725698738634
The Martian,0,val,0.012548970660965983
My Big Fat Greek Wedding 2,0,val,0.012464557495858746
Everest,0,val,0.012382406519140823
"Hail, Caesar!",0,val,0.012143729707598794
Krampus,0,val,0.01210575205041976
Steve Jobs,0,val,0.011825745685771244
Alice Through the Looking Glass,0,val,0.011823860893138985
After,0,val,0.01165477085486437
Kung Fu Panda 3,0,val,0.011396394934423362
Escape Plan,0,val,0.011302520536702167
Dracula Untold,0,val,0.011191711829869163
The Other Woman,0,val,0.011136626347926112
Kung Fu Jungle,0,val,0.011057066725684229
Captain Phillips,0,val,0.01082062737198346
Evil Dead,0,val,0.010740512603369383
Ouija,1,val,0.010663753043600632
The BFG,0,val,0.010642410098109538
Now You See Me 2,0,val,0.010397706621847951
The Color Purple,0,val,0.010316295620357543
The Revenant,0,val,0.010308020653358615
Legend,0,val,0.010296076862572437
Dallas Buyers Club,1,val,0.01017727980872372
Draft Day,0,val,0.009974778674284417
Central Intelligence,0,val,0.00995693569736871
A Haunted House,1,val,0.009712526445748295
Trainwreck,0,val,0.009677615164940768
Kick-Ass 2,0,val,0.009634450888784217
Avengers: Age of Ultron,0,val,0.009607425124757492
The Counselor,0,val,0.00956086817438736
Dolphin Tale 2,0,val,0.00953350559607212
Guardians of the Galaxy,0,val,0.0095308130968524
The Butler,0,val,0.009477926657006929
American Hustle,0,val,0.009435319865810794
Blue Jasmine,0,val,0.009398762268735966
Rush,0,val,0.009397663016661364
Penguins of Madagascar,0,val,0.00930028143136955
Hellboy,0,val,0.009244120840776252
The Boxtrolls,0,val,0.008947970322835152
The Maze Runner,1,val,0.008870000537719138
Max,0,val,0.008851863555373932
Divergent,0,val,0.008696197250009865
Need for Speed,0,val,0.008660310585547771
Concussion,0,val,0.008564760468178702
The Host,0,val,0.008561990813294269
The Host,0,val,0.008561990813294269
Olympus Has Fallen,0,val,0.008524899819275716
Jack the Giant Slayer,0,val,0.00851615301889318
Goosebumps,0,val,0.008479494525791257
Still Alice,1,val,0.008437035722165743
42,0,val,0.008327180153224352
Victor Frankenstein,0,val,0.008310452742169436
Non-Stop,0,val,0.008309653405780056
Taken 3,1,val,0.008301279358007566
The Last Witch Hunter,0,val,0.008247276394034558
Alvin and the Chipmunks: The Road Chip,0,val,0.00798331726861052
If I Stay,0,val,0.00793014517996936
Brick Mansions,0,val,0.007866987876379308
Prisoners,0,val,0.007823874422870967
Unbroken,0,val,0.0077750514717471
Escape from Planet Earth,0,val,0.007764351616538318
Get Hard,0,val,0.007664906502412016
The Conjuring 2,0,val,0.007663876365550403
San Andreas,0,val,0.007616501781436853
Get on Up,0,val,0.007605993264378543
Trance,0,val,0.007575190067362399
The Good Dinosaur,0,val,0.007568748440177908
Annabelle,1,val,0.007528569541246883
American Sniper,1,val,0.00751715069199567
Mission: Impossible - Rogue Nation,0,val,0.0075124189088136405
Gone Girl,0,val,0.007454988324344222
Son of God,0,val,0.0074234047147071274
Creed,0,val,0.00728353158045409
Top Five,0,val,0.0072344968664388555
Interstellar,0,val,0.0072147978931949895
Allegiant,0,val,0.007145156599792736
St. Vincent,0,val,0.0071366188675962465
One Direction: This Is Us,0,val,0.007125167081085147
300: Rise of an Empire,0,val,0.006989112927081769
The Big Wedding,0,val,0.006971608202997136
In the Heart of the Sea,0,val,0.006963823061698744
Dirty Grandpa,1,val,0.006843432828001025
No Escape,1,val,0.006795544521045849
That Awkward Moment,0,val,0.006707079867630074
The World's End,0,val,0.006668769498592153
The Lost City,1,val,0.006647863185502861
Ghostbusters,0,val,0.0066135328968418795
The Judge,0,val,0.0066069206367670545
Ender's Game,0,val,0.0066064896892641615
The Call,0,val,0.006559332236209663
Warm Bodies,0,val,0.006547174658878539
Safe Haven,0,val,0.006537058861645053
The Lego Movie,1,val,0.006525036531838461
Pan,0,val,0.0064799201100921
The Purge,1,val,0.00646375435328878
Ant-Man,0,val,0.006348168921779076
The Age of Adaline,0,val,0.006285549430578426
The Great Beauty,0,val,0.006226946584829543
This Is Where I Leave You,0,val,0.006190234131961407
Runner Runner,0,val,0.006033135887130905
Cloudy with a Chance of Meatballs 2,0,val,0.006032127790460543
Hot Pursuit,0,val,0.005998092650468605
Side Effects,0,val,0.005992381202279402
Percy Jackson: Sea of Monsters,0,val,0.005946552864257203
The Purge: Election Year,1,val,0.005943687557697262
Sicario,0,val,0.0058865442706081145
Free State of Jones,0,val,0.005877107979168056
Joy Ride,0,val,0.005812312095276937
22 Jump Street,1,val,0.005789909011872268
Spectre,0,val,0.005779110679210918
Sausage Party,1,val,0.0057460441678998725
Left Behind,0,val,0.0057344111814252715
Chappie,0,val,0.005711369727431529
This Is the End,0,val,0.005634884045952312
Project Almanac,0,val,0.005603176556330351
The Hateful Eight,0,val,0.005587867434820326
Bridge of Spies,0,val,0.005582790574257012
The Heat,0,val,0.005580007177231028
The Transporter Refueled,0,val,0.00553967836760556
The Legend of Tarzan,0,val,0.005501944084357949
The Hundred-Foot Journey,0,val,0.005356475991755724
Deliver Us from Evil,0,val,0.005271078196100339
Risen,0,val,0.005267057875523835
Big Eyes,0,val,0.005246301245774585
Shaft,0,val,0.005241704291656147
Bride Wars,0,val,0.005191562958756075
Jersey Boys,0,val,0.005186705991184699
Paper Towns,0,val,0.005142151983458423
Stand by Me,0,val,0.005107112624694481
The Last Stand,0,val,0.005084112517317435
Mortal Kombat,0,val,0.00508126250597657
Oblivion,0,val,0.004980150709049455
Home,0,val,0.004830513644565578
The Grand Budapest Hotel,0,val,0.004741798142516939
The Huntsman: Winter's War,0,val,0.0046936785660547
The Hunger Games: Mockingjay - Part 2,0,val,0.004684085815280575
Transformers: Age of Extinction,0,val,0.0045838319913462915
Riddick,0,val,0.004576453912122766
21 & Over,0,val,0.004497125545603386
Character,0,val,0.004364982757671574
The Man from U.N.C.L.E.,0,val,0.004349372177407791
Jason Bourne,0,val,0.004346211083137235
Homefront,0,val,0.004323195132204292
Parker,0,val,0.004293699138208363
Independence Day: Resurgence,0,val,0.004111213049349598
How to Train Your Dragon 2,0,val,0.004060991015516813
Paul Blart: Mall Cop 2,0,val,0.004007241574081586
RED 2,0,val,0.003996545771690809
The Gambler,0,val,0.003961645623230085
Snitch,0,val,0.003961285594129932
The Lone Ranger,0,val,0.0038271204341570153
Terminator Genisys,0,val,0.0038178041647794086
Focus,0,val,0.003794407992531737
Inside Out,0,val,0.003729693678471434
Elysium,0,val,0.003724731503382116
G.I. Joe: Retaliation,0,val,0.0036938951536372843
Delivery Man,0,val,0.0035784940897111003
Paddington,0,val,0.003501084761190655
The Incredible Burt Wonderstone,0,val,0.003486069313574419
The Addams Family,0,val,0.003426706918810125
Cinderella,0,val,0.003389881858890835
Into the Storm,0,val,0.0033740652922484237
Point Break,0,val,0.003364827968224625
A Most Wanted Man,0,val,0.0033625370625669677
Tomorrowland,0,val,0.0033353063573779086
Annie,0,val,0.003305904018061897
The Book Thief,0,val,0.0032836050304870233
Edge of Tomorrow,0,val,0.0032571162066886866
The Smurfs 2,0,val,0.0032091797340833427
Suicide Squad,0,val,0.0031201015107556124
The SpongeBob Movie: Sponge Out of Water,0,val,0.003092329245145125
Broken City,0,val,0.003075723299494145
Zoolander 2,0,val,0.0030503930025562015
3 Days to Kill,0,val,0.0030375112547992543
Firestorm,0,val,0.0029857468456647046
White House Down,0,val,0.002980096761307249
The Monkey King 2,0,val,0.0029489281891362748
The Railway Man,0,val,0.0029452432330189715
The Equalizer,0,val,0.0029015447015675686
Run All Night,0,val,0.002890677727761793
Mad Max: Fury Road,0,val,0.0028729104522100123
The Last Exorcism Part II,0,val,0.002823710130505582
Hide and Seek,0,val,0.0028162875165957434
Night at the Museum: Secret of the Tomb,0,val,0.0027752418959211666
The Giver,0,val,0.002737723090616519
Teenage Mutant Ninja Turtles,0,val,0.0027234479547157183
Pete's Dragon,0,val,0.002659753967421658
Southpaw,0,val,0.0026249691941190164
Pompeii,0,val,0.002569298704884104
Lone Survivor,0,val,0.002567825340349844
Robin Hood,0,val,0.002544091964989606
Dawn of the Planet of the Apes,0,val,0.0024148340847600738
Hansel & Gretel: Witch Hunters,0,val,0.0023728992868387727
How to Be Single,0,val,0.0023423493894898476
The Angry Birds Movie,0,val,0.0023304898981524056
Deadpool,1,val,0.0023172736612666616
Maze Runner: The Scorch Trials,0,val,0.002248894593106491
R.I.P.D.,0,val,0.0021912058251722425
Earth to Echo,0,val,0.002162479403862602
Grace of Monaco,0,val,0.002160604815207585
The Nut Job,0,val,0.002122327559713673
Insidious: Chapter 3,0,val,0.0020702616007877836
Dragon Blade,0,val,0.002033249708975026
Noah,0,val,0.0020126357440768813
Pixels,0,val,0.0019649882932178944
Out of Inferno,0,val,0.0019490086884493233
The Circle,0,val,0.001944137728798795
Ip Man 3,0,val,0.0019435606773973752
Eddie the Eagle,0,val,0.0018667145743591221
God's Not Dead 2,0,val,0.0018647676136716383
The Monuments Men,0,val,0.0018003106136523545
Captain America: Civil War,0,val,0.0017046242858968091
The Finest Hours,0,val,0.0016544828229784524
A Madea Christmas,0,val,0.0016312571928794142
Sin City: A Dame to Kill For,0,val,0.0016299804414032482
Jack Ryan: Shadow Recruit,0,val,0.0016120742066362752
Grown Ups 2,0,val,0.0015893172563926103
X-Men: Days of Future Past,0,val,0.0015882913286075118
Think Like a Man Too,0,val,0.001542960025204694
Oculus,0,val,0.0015088702551906926
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",0,val,0.001474501610510092
Hercules,0,val,0.0014652568832938641
Furious 7,1,val,0.0014339983984187378
A Haunted House 2,0,val,0.0014337361529435707
The Best Man Holiday,0,val,0.0014122881434784078
Mortdecai,0,val,0.0013811935195026021
The Great Gatsby,0,val,0.0013805753421758512
The Jungle Book,0,val,0.0013300977157516686
Winter's Tale,0,val,0.001325614666643001
Fury,0,val,0.001321156311838968
Sex Tape,0,val,0.0012992602456968444
Batman v Superman: Dawn of Justice,0,val,0.0012910608304200293
Fly Me to the Moon,0,val,0.0012898121956909942
Saving Mr. Banks,0,val,0.0012157799697390752
Ben-Hur,0,val,0.0011707126134753347
10 Cloverfield Lane,0,val,0.0011643723535190323
A Good Day to Die Hard,0,val,0.0011509571337519006
Ride Along,1,val,0.0011466887205051556
Truth or Dare,0,val,0.0011386293868673077
X-Men: Apocalypse,0,val,0.0011152197391954815
Fantastic Four,0,val,0.0010797555371086158
The Island,0,val,0.0010730261029622248
Devil's Due,0,val,0.0010507686853689564
Identity Thief,0,val,0.0010468561326838093
Thunder and the House of Magic,0,val,0.0010290495176538553
The November Man,0,val,0.000992159161397971
The Specials,0,val,0.0008853870999637281
The Book of Life,0,val,0.000873654998475393
Gangster Squad,0,val,0.0008407947125661959
Begin Again,1,val,0.0006827987255820742
London Has Fallen,0,val,0.0006692488536441357
Daddy's Home,0,val,0.0006571342438412207
Tammy,0,val,0.0005989413216541613
Maleficent,0,val,0.0005910108954303697
On the Line,0,val,0.0005854497812546666
The Crow,0,val,0.0005745417854016311
Mama,0,val,0.0005590860894067746
War,0,val,0.0005534405802891576
About Last Night,0,val,0.0005100376973747628
Endless Love,0,val,0.0003780220340033667
The Best of Me,0,val,0.0003485148714148668
The Girl on the Train,0,val,0.0003262749769567284
RoboCop,0,val,0.0002907116770750825
Underdogs,0,val,0.00028866165260266907
After Earth,0,val,0.00018467940313724422
